,Account,Amount,Category,Date,Description,Memo,Original Description,Parent Category,Pending,Tags,Type
22,Business CheckingBusiness Checking,210,Income,2018-10-27,Deposit #1102,Check,Deposit2,Income,False,,Credit
23,4_D_D_Checking Account4_D_D_Checking Account,210,Income,2018-10-27,Deposit #1102,Check,Deposit2,Income,False,,Credit
24,Visa,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
25,MasterCard,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
26,Auto Loan,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
27,Personal Savings,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
28,CD %%% Account,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
29,LOC Loan,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
30,401K Account,210,Investments,2018-10-27,Deposit,Check,Deposit2,Investments,False,,Credit
31,Home Loan,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
32,Business Savings,210,Income,2018-10-27,Deposit,Check,Deposit2,Income,False,,Credit
77,MasterCard,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
78,Visa,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
79,Business Savings,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
80,LOC Loan,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
81,Home Loan,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
82,Auto Loan,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
83,Personal Savings,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
84,Business CheckingBusiness Checking,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
85,CD %%% Account,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
86,401K Account,390,Investments,2018-10-21,Deposit,Transactions,Deposit3,Investments,False,,Credit
87,4_D_D_Checking Account4_D_D_Checking Account,390,Income,2018-10-21,Deposit,Transactions,Deposit3,Income,False,,Credit
110,LOC Loan,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
111,Home Loan,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
112,Business CheckingBusiness Checking,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
113,401K Account,480,Investments,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Investments,False,,Credit
114,Auto Loan,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
115,4_D_D_Checking Account4_D_D_Checking Account,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
116,Business Savings,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
117,CD %%% Account,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
118,Visa,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
119,MasterCard,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
120,Personal Savings,480,Shopping,2018-10-18,Return Of Goods,Transactions,Return of Goods3,Shopping,False,,Credit
143,Home Loan,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
144,401K Account,540,Investments,2018-10-15,Deposit,Transactions,Deposit4,Investments,False,,Credit
145,LOC Loan,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
146,Personal Savings,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
147,Business CheckingBusiness Checking,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
148,Auto Loan,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
149,CD %%% Account,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
150,MasterCard,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
151,4_D_D_Checking Account4_D_D_Checking Account,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
152,Visa,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
153,Business Savings,540,Income,2018-10-15,Deposit,Transactions,Deposit4,Income,False,,Credit
226,Visa,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
227,Auto Loan,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
228,Business CheckingBusiness Checking,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
229,4_D_D_Checking Account4_D_D_Checking Account,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
230,CD %%% Account,630,Shopping,2018-09-02,Return Of Goods,,Return of Goods4,Shopping,False,,Credit
